"STATION","NAME","DATE","PRCP","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT05","WT06","WT11"
"USC00319461","WILMINGTON 7 SE, NC US","2016-01-01","0.73","74","55","55",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-01-02","0.00","55","44","44",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-01-03","0.00","48","34","36",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-01-04","0.00","53","35","39",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-01-05","0.00","48","27","27",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-01-06","0.00","37","27","31",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-01-07","0.00","50","31","46",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-01-08","0.00","57","46","49",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-01-09","0.00","56","49","52","    1",,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-01-10","0.31","66","52","64",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-01-11","0.00","66","35","35",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-01-12","0.00","49","26","30",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-01-13","0.00","56","29","29",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-01-14","0.00","49","28","31",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-01-15","0.00","59","31","39",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-01-16","1.62","62","39","50",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-01-17","0.00","64","45","45",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-01-18","0.29","45","30","31",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-01-19","0.00","46","22","22",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-01-20","0.00","36","20","20",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-01-21","0.00","42","20","30",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-01-22","0.00","49","30","36",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-01-23","2.12","48","30","30","    1","    1",,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-01-24","0.00","34","29","30",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-01-25","0.00","49","26","26",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-01-26","0.00","55","26","41",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-01-27","0.00","66","41","56",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-01-28","0.00","61","42","42",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-01-29","0.21","52","38","38",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-01-30","0.00","60","29","41",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-01-31","0.00","54","36","36",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-02-01","0.00","70","36","52",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-02-02","0.00","75","49","49",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-02-03","0.00","61","49","60",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-02-04","1.98","75","60","62","    1","    1",,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-02-05","2.64","66","42","42","    1",,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-02-06","0.00","49","31","35",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-02-07","0.58","49","35","36",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-02-08","1.65","41","32","32",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-02-09","0.00","55","32","38",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-02-10","0.00","49","29","30",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-02-11","0.00","45","24","25",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-02-12","0.00","45","25","36",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-02-13","0.02","40","27","28",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-02-14","0.00","41","21","21",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-02-15","0.00","37","21","30",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-02-16","0.61","60","30","56",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-02-17","0.14","66","39","40",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-02-18","0.00","81","37","38",,,,,,
